series,t_seconds,value
proactive (this run),6198.121,0.992331
proactive (this run),6205.481,0.992331
proactive (this run),6218.302,0.992342
proactive (this run),6226.268,0.992354
proactive (this run),6241.554,0.992375
proactive (this run),6248.811,0.992382
proactive (this run),6252.382,0.992365
proactive (this run),6260.265,0.992355
proactive (this run),6264.512,0.992371
proactive (this run),6271.836,0.992377
proactive (this run),6281.646,0.992389
proactive (this run),6285.943,0.992363
proactive (this run),6294.446,0.992347
proactive (this run),6303.578,0.992331
proactive (this run),6311.877,0.992316
proactive (this run),6317.579,0.992321
proactive (this run),6325.001,0.992295
proactive (this run),6334.289,0.992289
proactive (this run),6342.561,0.992277
proactive (this run),6346.692,0.992330
proactive (this run),6355.322,0.992324
proactive (this run),6362.173,0.992316
proactive (this run),6369.219,0.992326
proactive (this run),6376.858,0.992326
proactive (this run),6382.838,0.992331
proactive (this run),6398.680,0.992348
proactive (this run),6401.885,0.992331
proactive (this run),6412.695,0.992307
proactive (this run),6419.816,0.992313
proactive (this run),6429.737,0.992315
proactive (this run),6433.803,0.992330
proactive (this run),6441.531,0.992342
proactive (this run),6448.660,0.992342
proactive (this run),6458.014,0.992358
proactive (this run),6468.794,0.992377
proactive (this run),6475.102,0.992377
proactive (this run),6479.707,0.992363
proactive (this run),6488.279,0.992358
proactive (this run),6491.958,0.992378
proactive (this run),6500.263,0.992373
proactive (this run),6510.429,0.992389
proactive (this run),6514.312,0.992363
proactive (this run),6522.811,0.992347
proactive (this run),6528.379,0.992337
proactive (this run),6536.647,0.992316
proactive (this run),6540.635,0.992321
proactive (this run),6549.952,0.992316
proactive (this run),6559.276,0.992300
proactive (this run),6573.715,0.992277
proactive (this run),6577.912,0.992330
proactive (this run),6592.539,0.992335
proactive (this run),6604.103,0.992342
proactive (this run),6614.561,0.992358
proactive (this run),6622.207,0.992342
proactive (this run),6634.082,0.992342
proactive (this run),6642.200,0.992311
proactive (this run),6645.805,0.992295
proactive (this run),6654.245,0.992308
proactive (this run),6660.310,0.992313
proactive (this run),6669.822,0.992318
proactive (this run),6675.231,0.992330
proactive (this run),6683.078,0.992342
proactive (this run),6690.444,0.992342
proactive (this run),6701.151,0.992358
proactive (this run),6712.628,0.992377
