series,t_seconds,value
spillover,3769.224,0.992318
spillover,3775.225,0.992330
spillover,3782.096,0.992342
spillover,3793.256,0.992342
spillover,3803.806,0.992375
spillover,3812.505,0.992375
spillover,3818.958,0.992377
spillover,3825.330,0.992365
spillover,3834.485,0.992365
spillover,3846.737,0.992362
spillover,3860.156,0.992375
spillover,3863.542,0.992348
spillover,3872.422,0.992330
spillover,3878.716,0.992313
spillover,3888.316,0.992302
spillover,3895.043,0.992302
spillover,3904.584,0.992295
spillover,3910.819,0.992289
spillover,3918.565,0.992295
spillover,3921.770,0.992311
spillover,3929.757,0.992326
spillover,3937.117,0.992316
spillover,3945.611,0.992326
spillover,3954.230,0.992326
spillover,3961.684,0.992331
spillover,3969.941,0.992347
spillover,3973.099,0.992331
spillover,3982.570,0.992307
spillover,3988.548,0.992311
spillover,3997.241,0.992318
spillover,4001.743,0.992331
spillover,4008.794,0.992331
spillover,4017.005,0.992342
spillover,4025.911,0.992358
spillover,4036.296,0.992377
spillover,4045.132,0.992377
spillover,4048.786,0.992365
spillover,4055.673,0.992358
spillover,4059.209,0.992378
spillover,4066.461,0.992373
spillover,4079.570,0.992389
spillover,4083.767,0.992363
spillover,4094.436,0.992347
spillover,4101.013,0.992331
spillover,4110.185,0.992324
spillover,4116.297,0.992324
spillover,4124.871,0.992295
spillover,4132.471,0.992289
spillover,4140.052,0.992277
spillover,4144.593,0.992330
spillover,4153.972,0.992326
spillover,4163.537,0.992324
spillover,4170.805,0.992336
spillover,4179.302,0.992330
spillover,4187.163,0.992342
spillover,4195.111,0.992348
spillover,4198.829,0.992331
spillover,4206.033,0.992307
spillover,4210.847,0.992311
spillover,4220.625,0.992311
spillover,4225.343,0.992331
spillover,4233.784,0.992331
spillover,4243.715,0.992342
spillover,4252.626,0.992358
spillover,4262.683,0.992377
spillover,4271.773,0.992382
spillover,4274.034,0.992365
spillover,4281.166,0.992365
spillover,4286.620,0.992371
spillover,4296.176,0.992377
spillover,4309.204,0.992389
spillover,4313.738,0.992348
spillover,4324.705,0.992342
spillover,4336.184,0.992335
spillover,4344.912,0.992328
spillover,4350.723,0.992302
spillover,4359.834,0.992282
spillover,4368.748,0.992289
spillover,4376.128,0.992295
spillover,4380.004,0.992330
spillover,4388.407,0.992324
spillover,4396.292,0.992324
spillover,4401.251,0.992326
spillover,4407.393,0.992326
spillover,4413.308,0.992331
spillover,4422.404,0.992347
spillover,4424.921,0.992332
spillover,4435.512,0.992337
spillover,4444.808,0.992311
spillover,4452.098,0.992311
spillover,4455.693,0.992323
spillover,4465.299,0.992331
spillover,4473.785,0.992342
spillover,4483.918,0.992354
spillover,4494.106,0.992377
spillover,4501.765,0.992377
spillover,4505.653,0.992365
spillover,4515.727,0.992355
spillover,4520.190,0.992371
spillover,4529.594,0.992377
spillover,4539.096,0.992389
spillover,4546.918,0.992348
spillover,4553.169,0.992347
spillover,4562.527,0.992324
spillover,4571.336,0.992324
spillover,4578.640,0.992324
spillover,4588.496,0.992295
spillover,4597.611,0.992289
spillover,4606.111,0.992277
spillover,4608.771,0.992330
spillover,4615.380,0.992324
spillover,4626.658,0.992324
spillover,4632.385,0.992336
spillover,4642.256,0.992330
spillover,4652.321,0.992342
spillover,4659.050,0.992348
spillover,4662.269,0.992331
spillover,4669.969,0.992307
spillover,4675.110,0.992311
spillover,4682.969,0.992311
spillover,4687.004,0.992331
spillover,4696.119,0.992331
spillover,4703.423,0.992342
spillover,4710.455,0.992356
spillover,4723.863,0.992377
