series,t_seconds,value
primary,28590.960,0.000000
primary,28600.580,0.496147
primary,28610.387,0.496147
primary,28661.742,0.992389
primary,28674.488,0.992389
primary,28678.241,0.992389
primary,28728.725,0.992365
primary,28737.702,0.992295
primary,28745.802,0.992295
primary,28797.902,0.992295
primary,28808.598,0.992272
primary,28816.174,0.992272
primary,28858.467,0.992295
primary,28868.092,0.661530
primary,28873.592,0.496159
primary,28932.389,0.992248
primary,28943.734,0.992272
primary,28948.268,0.992272
primary,29103.582,0.000000
primary,29112.722,0.496136
primary,29124.402,0.496136
primary,29173.655,0.992342
primary,29182.236,0.992295
primary,29189.628,0.992295
primary,29232.210,0.992342
primary,29244.004,0.992389
primary,29254.534,0.992389
primary,29309.846,0.992483
primary,29331.658,0.992483
primary,29385.827,0.992295
primary,29398.628,0.992272
primary,29409.894,0.992272
primary,29458.327,0.992248
primary,29469.046,0.992295
primary,29479.933,0.992295
primary,29524.327,0.992342
primary,29534.058,0.992342
primary,29549.668,0.992342
primary,29600.285,0.992389
primary,29619.177,0.992412
primary,29623.601,0.992412
primary,29681.119,0.992342
primary,29690.571,0.992342
primary,29693.949,0.992342
primary,29747.506,0.992365
primary,29752.421,0.992295
primary,29774.742,0.992295
primary,29826.846,0.992483
primary,29842.722,0.992436
primary,29849.087,0.992436
primary,29886.532,0.992342
primary,29898.853,0.992272
primary,29949.258,0.992342
primary,29953.329,0.992459
primary,29962.341,0.992459
primary,30001.767,0.992459
primary,30049.998,0.992342
primary,30060.267,0.992412
primary,30074.299,0.992412
primary,30137.635,0.992436
primary,30143.176,0.992295
primary,30164.935,0.992295
primary,30215.680,0.992342
primary,30219.570,0.992459
primary,30227.455,0.992459
primary,30274.371,0.992459
primary,30330.813,0.992342
primary,30343.717,0.992412
primary,30356.836,0.992412
primary,30410.423,0.992436
primary,30416.287,0.992295
primary,30425.290,0.992295
primary,30486.650,0.992342
primary,30492.980,0.992459
primary,30505.233,0.992459
primary,30558.004,0.992201
primary,30569.653,0.992295
primary,30576.292,0.992295
primary,30644.278,0.992389
primary,30654.158,0.992389
primary,30661.221,0.992389
primary,30718.351,0.992342
primary,30730.489,0.992295
primary,30742.640,0.992295
primary,30800.077,0.992295
primary,30811.725,0.992272
primary,30819.721,0.992272
primary,30874.319,0.992342
primary,30884.353,0.992318
primary,30889.984,0.992318
primary,30941.429,0.992272
primary,30948.697,0.992272
primary,30953.506,0.992272
primary,31002.748,0.992272
primary,31008.361,0.992279
primary,31019.624,0.992272
primary,31069.575,0.992342
primary,31077.203,0.992295
primary,31083.723,0.992295
primary,31133.235,0.992342
primary,31142.229,0.992389
primary,31155.509,0.992389
